issue_id,num_url,num_code,num_comment,num_table,count_word_title,count_word_body,readability,labeler_exper,num_file,num_add,num_delete,stargazers_count,whether_solved_by_newcomers
38513174,0,0,0,0,9,126,7.79,0,1,2,1,7971,1
31600707,0,0,0,0,9,53,14.7,0,1,4,0,7971,1
37924633,0,0,0,0,8,52,8.76,0,1,9,0,7971,1
61241244,0,0,0,0,5,163,16.15,141,1,10,0,2306,1
20902479,0,0,0,0,9,13,7.7,10,7,17,9,10992,1
15458837,0,0,0,0,4,0,-15.81,0,1,23,2,10992,1
15121634,0,0,0,0,9,0,-15.81,0,1,48,8,10992,1
31865144,0,1,0,0,2,11,16.86,2,4,35,47,10992,1
19051380,0,0,0,0,6,6,4.28,11,1,19,2,10992,1
6732602,0,0,0,0,8,0,-15.81,,1,479,72,2921,1
160532,0,2,0,0,7,65,22.93,,2,21,18,21632,1
26524,0,0,0,0,14,62,9.59,,2,2,2,21632,1
44490009,2,0,0,0,7,19,9.57,0,2,2,0,4445,1
35759775,0,0,0,0,2,10,73.46,0,1,0,16,4445,1
43958636,0,0,0,0,7,33,11.62,0,1,1,1,4445,1
185292,,,,,,,,,1,1,1,3849,1
5415752,0,1,0,0,8,32,16.14,,5,14,9,3789,1
543521,0,1,0,0,9,385,16.96,,3,677,588,8152,1
25244623,0,0,0,0,5,0,-15.81,0,2,2,2,50951,1
9052844,0,0,0,0,3,7,17.35,0,9,35,7,50951,1
8988727,0,2,0,0,14,86,14,0,1,6,1,50951,1
6572399,0,0,0,0,11,23,22.11,0,1,1,1,8119,1
24999687,0,0,0,0,6,47,8.66,,3,39,4,6232,1
19452380,0,0,0,0,10,26,12.48,23,3,21,2,13897,1
36809328,1,0,0,0,8,20,4.47,0,1,4,0,38114,1
22567591,0,0,0,0,15,77,6.74,148,14,18,24,80973,1
21873646,1,0,0,0,10,19,10.5,16,4,60,2,80973,1
17732052,0,0,0,0,6,59,24.61,0,1,9,0,80973,1
40376390,,,,,,,,34,2,10,2,80973,1
19697664,1,4,0,0,5,52,10.81,0,3,5,8,44138,1
25081088,0,1,0,0,10,29,49.08,0,1,2,2,44138,1
37954087,0,2,0,0,4,15,25.45,0,5,48,0,44138,1
39770115,0,3,2,0,9,98,18.3,0,11,228,78,44138,1
