id,issue_id,project_url,issue_url,commit,type,number_attempt_newcomer,whether_solved_by_newcomer,author_name,commit_created_at,exper,longterm,resolve_time_days
32134289,6911,https://api.github.com/repos/nodejs/node,https://github.com/nodejs/node/issues/6911,ea5a2f4e2b477ae589a22ffc0659e244491c7d05,bug,2,FALSE,Rich Trott,2017-03-10 09:43:48 UTC,668,1143,293.21
47967149,1194,https://api.github.com/repos/Kinto/kinto,https://github.com/Kinto/kinto/issues/1194,13169807b3230d76e1d1c241ec3118a9e58d0e32,,0,FALSE,HUBSCHER,2017-04-25 10:33:36 UTC,992,82,
38862087,2964,https://api.github.com/repos/zaproxy/zaproxy,https://github.com/zaproxy/zaproxy/issues/2964,aa7214f13d8f0060abf95b89831ebcca18760fc3,,0,FALSE,thc202,2016-11-02 22:49:11 UTC,1282,1018,2.46
68866465,582,https://api.github.com/repos/PHP-DI/PHP-DI,https://github.com/PHP-DI/PHP-DI/issues/582,71a7f2ed1e728138060ea159cbb1a92dc8620bd2,bug,0,FALSE,Matthieu Napoli,2018-04-23 08:54:40 UTC,1399,46,42.08
13455321,1521,https://api.github.com/repos/wp-cli/wp-cli,https://github.com/wp-cli/wp-cli/issues/4507,f9f491e1d0ab498d7b2e1207c27d8bd579f4f189,,0,FALSE,Daniel Bachhuber,2017-11-13 10:32:21 UTC,1890,57,
68687126,10579,https://api.github.com/repos/mui-org/material-ui,https://github.com/mui-org/material-ui/issues/10579,6ef9ed8a5fd31725f9b143fa1b9d562049e97a18,documentation,1,FALSE,Olivier Tassinari,2018-03-11 00:59:07 UTC,2055,933,1.71
6790301,727,https://api.github.com/repos/lsegal/yard,https://github.com/lsegal/yard/issues/727,bbb3672ebc74ff8fafdf0bcdb58ac2b968c34f93,bug,0,FALSE,Loren Segal,2014-03-22 14:05:12 UTC,2673,481,67.42
60590153,4507,https://api.github.com/repos/wp-cli/wp-cli,https://github.com/wp-cli/wp-cli/issues/4507,f9f491e1d0ab498d7b2e1207c27d8bd579f4f189,bug,0,FALSE,Daniel Bachhuber,2017-11-13 10:32:21 UTC,3442,117,0.17
50825960,7711,https://api.github.com/repos/radare/radare2,https://github.com/radareorg/radare2/issues/7711,832a6caf3a4e2f4293cb67a4276532df5cbfda57,bug,0,FALSE,pancake,2017-11-26 23:16:38 UTC,9162,2473,170.42
43227819,6614,https://api.github.com/repos/radare/radare2,https://github.com/radare/radare2/issues/6614,e01a7509f1d9c50b7f7d032a3bfd3aa2f63d7829,,0,FALSE,pancake,2017-12-24 01:13:32 UTC,9218,2377,
37961966,1998,https://api.github.com/repos/zulip/zulip,https://github.com/zulip/zulip/issues/1998,,,1,FALSE,feorlen,,,,
64358043,13891,https://api.github.com/repos/sympy/sympy,https://github.com/sympy/sympy/issues/13891,,,2,FALSE,,,,,
