id,num_commit,num_author,stargazers_count,age
7691517,2775,72,5522,51.0
16351512,7267,377,34462,43.0
15627045,3177,29,1436,39.0
16778926,3986,207,17330,52.0
1372028,476,65,6258,66.0
38397,15414,73,1556,78.0
48846478,5439,100,9958,18.0
42009,520,12,11634,78.0
2888,5249,56,8295,83.0
46971728,4778,58,1551,18.0
21556740,1661,156,4040,120.0
7509659,1437,22,1445,60.0
546037,10423,69,2845,68.0
3138271,2463,11,3026,61.0
5435325,503,7,11521,55.0
901621,11378,89,2921,77.0
7859423,1630,48,1873,54.0
1001578,1500,129,3849,92.0
16356,6268,170,9852,77.0
11387,5332,315,3837,77.0
62238,36564,542,2854,108.0
1207,7216,168,2931,94.0
3720099,1722,56,17029,59.0
9861,492,33,4450,85.0
2740299,1091,43,11814,62.0
145790,493,15,1482,87.0
5118473,1834,44,2907,56.0
4680317,337,13,2457,57.0
176067,335,32,1810,71.0
4021479,193,13,4384,121.0
3142597,903,11,5706,61.0
2367496,302,32,4386,63.0
4706454,2346,284,8337,63.0
558679,1954,81,10235,68.0
27859,646,98,1999,86.0
2560,4687,215,4862,75.0
25681,960,94,1731,73.0
2812,17817,343,12282,92.0
37211426,628,56,6776,24.0
11162094,3892,91,11312,45.0
33135287,4174,108,18947,25.0
33565,412,36,4134,115.0
22044797,210,7,7338,73.0
12885,2545,181,7170,93.0
17985121,3997,51,2255,37.0
4876188,9491,237,32242,89.0
161036,1023,58,4602,69.0
7332776,9364,505,14910,58.0
6050365,1714,22,2370,54.0
5424298,4306,100,12835,61.0
23102,3214,30,2429,120.0
31943828,430,24,7369,26.0
424503,1489,45,26994,68.0
174722,10921,66,2678,69.0
8964129,3425,27,4490,49.0
1960528,1794,81,8859,64.0
3475441,5411,71,5977,61.0
3128083,770,39,10786,62.0
6848,541,46,3648,77.0
1362806,428,52,4698,82.0
6178378,4146,61,4035,59.0
29172,43,11,8069,96.0
13575,456,61,2543,102.0
48109228,2379,377,36831,27.0
18515541,1928,137,1588,36.0
54282526,7199,428,18826,26.0
12500376,829,36,7716,42.0
51066157,78,25,5858,18.0
36450777,1139,71,3669,33.0
44760076,3566,114,13689,22.0
59519048,1573,20,7318,13.0
57712080,872,5,13767,14.0
58088556,620,32,3388,13.0
3690496,2343,152,8555,59.0
20980400,671,14,1744,74.0
76259571,78,6,8828,17.0
80896235,970,185,50545,44.0
55440158,5217,24,8694,14.0
4914951,2482,65,10871,73.0
6442229,919,31,4367,85.0
73694503,359,2,1955,14.0
7228519,1741,168,9058,63.0
16477419,515,27,11441,39.0
3346024,1244,117,8997,61.0
20429,1554,273,9062,121.0
1028984,366,50,11964,79.0
13860,50275,228,16155,98.0
12258,2909,304,20190,104.0
231,1375,37,3789,85.0
5224,607,42,14718,92.0
51534949,652,51,3715,36.0
58678111,197,2,1510,13.0
22042395,1120,16,7992,36.0
50758634,1649,10,8903,102.0
44434280,550,20,7621,58.0
334,1430,70,48195,83.0
1593177,892,52,1615,65.0
6149,636,55,3792,93.0
17924077,810,28,3045,37.0
1381021,1831,56,1496,67.0
7771886,2258,24,1753,115.0
767301,379,12,8592,68.0
6395263,550,15,2778,55.0
28874799,85,18,2490,92.0
9134291,650,24,1507,48.0
16795177,821,52,10171,92.0
6400325,1508,68,1636,72.0
